,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,avg_year,min_value_year,min_year,max_value_year,max_year,total_rainfall,state
0,54.382142857142846,27.68571428571429,31.594545454545454,71.91636363636368,354.8297297297298,470.08363636363646,399.0472727272726,398.6136363636363,440.3825688073395,289.98909090909086,233.0181818181818,157.46697247706427,2926.37358490566,1849.4,1979,3938.2,1961,327753.8415094339,Andman
1,46.71632653061221,90.88367346938777,153.97216494845358,265.38787878787883,356.69393939393956,641.8173469387757,691.1653061224491,491.30707070707075,432.0050505050504,194.79381443298965,35.14948453608248,24.07938144329896,3403.959139784947,1668.5,1967,6331.1,1948,336991.9548387098,Arunachal_Pradesh
2,16.860683760683763,31.363247863247864,79.22136752136751,205.10256410256403,340.8495726495726,508.74188034188023,494.56581196581214,403.3897435897436,310.69316239316237,152.4974358974359,26.89230769230769,8.955555555555554,2579.133333333334,1743.4,2011,3403.5,1974,301758.6000000001,Assam
3,13.864957264957267,36.413675213675205,77.44273504273504,171.34444444444438,289.9905982905983,444.7726495726496,437.6615384615384,411.6213675213675,314.51709401709394,175.45299145299148,46.87008547008548,12.783760683760688,2432.7179487179505,1353.8,1972,4316.2,1970,284628.00000000023,Nagaland
4,14.045299145299145,22.686324786324786,43.96666666666669,110.91111111111113,268.4786324786325,536.9897435897434,645.7008547008548,520.3042735042734,421.6982905982906,143.94358974358968,15.846153846153845,5.967521367521368,2750.5529914529907,1988.2,1908,3655.1,1998,321814.6999999999,Sikkim
5,12.476923076923082,22.39230769230769,29.019658119658125,44.38803418803419,107.81025641025641,246.10256410256423,327.84102564102557,311.8820512820511,245.14358974358973,116.28888888888893,21.56153846153846,5.712820512820514,1490.6128205128207,1015.1,1935,2099.8,1971,174401.7,Bengal
6,12.15213675213675,19.52478632478632,21.158119658119666,33.72393162393161,64.88888888888886,210.45042735042747,350.5547008547009,354.6282051282052,241.19487179487172,113.82649572649572,27.829059829059833,5.517948717948717,1455.448717948717,987.0,1974,1945.3,1961,170287.4999999999,Orissa
7,17.471794871794867,23.83846153846153,18.29658119658119,19.0965811965812,48.591452991452975,193.30427350427357,337.99401709401695,325.44358974358977,227.13675213675208,79.92136752136753,11.739316239316237,4.85641025641026,1307.6897435897433,697.1,2010,1898.6,1971,152999.69999999998,Jharkhand
8,13.242735042735042,14.152991452991452,10.194017094017095,16.84871794871796,53.57350427350427,173.15897435897443,325.1888888888888,298.7401709401709,217.83504273504263,62.94444444444446,7.055555555555555,3.631623931623933,1196.5632478632476,629.2,2010,1660.4,1987,139997.89999999997,Bihar
10,17.57008547008546,17.61452991452991,11.427350427350433,6.1623931623931645,12.452991452991451,77.5111111111111,246.86581196581182,249.67606837606843,145.3393162393163,28.372649572649568,3.8982905982905973,7.00683760683761,823.8991452991452,371.9,1918,1244.2,1978,96396.19999999998,Uttar_Pradesh
