,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,avg_year,min_value_year,min_year,max_value_year,max_year,total_rainfall,state
0,54.382142857142846,27.68571428571429,31.594545454545454,71.91636363636368,354.8297297297298,470.08363636363646,399.0472727272726,398.6136363636363,440.3825688073395,289.98909090909086,233.0181818181818,157.46697247706427,2926.37358490566,1849.4,1979,3938.2,1961,327753.8415094339,Andaman & Nicobar Islands
1,46.71632653061221,90.88367346938777,153.97216494845358,265.38787878787883,356.69393939393956,641.8173469387757,691.1653061224491,491.30707070707075,432.0050505050504,194.79381443298965,35.14948453608248,24.07938144329896,3403.959139784947,1668.5,1967,6331.1,1948,336991.9548387098,Arunachal Pradesh
2,16.860683760683763,31.363247863247864,79.22136752136751,205.10256410256403,340.8495726495726,508.74188034188023,494.56581196581214,403.3897435897436,310.69316239316237,152.4974358974359,26.89230769230769,8.955555555555554,2579.133333333334,1743.4,2011,3403.5,1974,301758.6000000001,Assam & Meghalaya
3,13.864957264957267,36.413675213675205,77.44273504273504,171.34444444444438,289.9905982905983,444.7726495726496,437.6615384615384,411.6213675213675,314.51709401709394,175.45299145299148,46.87008547008548,12.783760683760688,2432.7179487179505,1353.8,1972,4316.2,1970,284628.00000000023,Naga Mani Mizo Tripura
4,14.045299145299145,22.686324786324786,43.96666666666669,110.91111111111113,268.4786324786325,536.9897435897434,645.7008547008548,520.3042735042734,421.6982905982906,143.94358974358968,15.846153846153845,5.967521367521368,2750.5529914529907,1988.2,1908,3655.1,1998,321814.6999999999,Sub Himalayan West Bengal & Sikkim
5,12.476923076923082,22.39230769230769,29.019658119658125,44.38803418803419,107.81025641025641,246.10256410256423,327.84102564102557,311.8820512820511,245.14358974358973,116.28888888888893,21.56153846153846,5.712820512820514,1490.6128205128207,1015.1,1935,2099.8,1971,174401.7,Gangetic West Bengal
6,12.15213675213675,19.52478632478632,21.158119658119666,33.72393162393161,64.88888888888886,210.45042735042747,350.5547008547009,354.6282051282052,241.19487179487172,113.82649572649572,27.829059829059833,5.517948717948717,1455.448717948717,987.0,1974,1945.3,1961,170287.4999999999,Orissa
7,17.471794871794867,23.83846153846153,18.29658119658119,19.0965811965812,48.591452991452975,193.30427350427357,337.99401709401695,325.44358974358977,227.13675213675208,79.92136752136753,11.739316239316237,4.85641025641026,1307.6897435897433,697.1,2010,1898.6,1971,152999.69999999998,Jharkhand
8,13.242735042735042,14.152991452991452,10.194017094017095,16.84871794871796,53.57350427350427,173.15897435897443,325.1888888888888,298.7401709401709,217.83504273504263,62.94444444444446,7.055555555555555,3.631623931623933,1196.5632478632476,629.2,2010,1660.4,1987,139997.89999999997,Bihar
9,15.866666666666651,15.614529914529903,8.873504273504272,6.337606837606836,17.473504273504275,109.91282051282049,291.30256410256396,274.402564102564,183.45213675213677,42.43418803418805,4.511965811965814,5.677777777777777,975.8649572649574,493.3,1997,1545.5,1936,114176.20000000001,East Uttar Pradesh
10,17.57008547008546,17.61452991452991,11.427350427350433,6.1623931623931645,12.452991452991451,77.5111111111111,246.86581196581182,249.67606837606843,145.3393162393163,28.372649572649568,3.8982905982905973,7.00683760683761,823.8991452991452,371.9,1918,1244.2,1978,96396.19999999998,West Uttar Pradesh
11,53.23675213675214,62.73333333333333,57.064957264957286,35.1008547008547,56.165811965812,162.76410256410261,392.3042735042737,381.1128205128203,195.5205128205128,38.538461538461554,8.04957264957265,21.845299145299133,1464.4418803418807,803.4,1997,2102.9,1917,171339.70000000004,Uttarakhand
12,16.89316239316239,17.14786324786325,12.952991452991458,7.545299145299146,14.601709401709396,49.13675213675211,149.40854700854698,150.05299145299148,87.71452991452989,12.648717948717955,3.2239316239316254,7.107692307692309,528.4393162393162,234.7,1918,986.7,1917,61827.4,Haryana Delhi & Chandigarh
13,25.23247863247864,26.405982905982903,23.666666666666668,12.555555555555555,14.21196581196581,47.06923076923077,168.1905982905983,157.74615384615385,85.99059829059831,13.616239316239316,4.117948717948718,12.638461538461534,591.436752136752,274.7,2002,1222.6,1988,69198.09999999999,Punjab
14,84.25726495726498,90.06495726495729,100.88547008547005,62.5196581196581,58.2923076923077,91.57948717948716,278.9982905982906,273.9153846153846,129.36239316239315,30.791452991453003,16.469230769230773,39.64017094017091,1256.781196581197,776.1,1974,1919.2,1955,147043.40000000005,Himachal Pradesh
15,102.76495726495722,114.76581196581203,131.49487179487178,94.14102564102559,67.15128205128207,65.02905982905985,179.95862068965513,180.81282051282054,88.51880341880342,33.61367521367521,23.814655172413794,55.225000000000016,1138.8422413793103,657.0,1970,1732.5,1994,133244.5422413793,Jammu & Kashmir
16,3.3230769230769233,4.862393162393162,4.011111111111111,3.5418803418803413,9.539316239316237,29.131623931623928,96.10598290598293,94.9478632478633,39.92820512820512,5.194871794871795,1.6435897435897424,1.8854700854700854,294.1256410256411,62.3,1918,768.8,1917,34412.700000000004,West Rajasthan
17,6.389743589743589,5.32820512820513,4.518803418803418,3.0965811965811953,9.862393162393158,63.611111111111114,224.8247863247862,219.01538461538453,97.04358974358973,14.394017094017087,4.794017094017094,3.617948717948719,656.5017094017094,273.6,1918,1350.4,1917,76810.7,East Rajasthan
18,9.167521367521369,6.217241379310346,5.1179487179487175,2.3367521367521356,7.670940170940167,111.84615384615388,304.00598290598293,288.0427350427351,160.56923076923067,28.069230769230753,12.133333333333331,6.205982905982905,944.1715517241373,509.4,1918,1433.7,1961,110468.07155172406,West Madhya Pradesh
